Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
arm_base_link,-0.000473337349444787,-1.32028098241679E-05,0.07239105763563,0,0,0,1.14215420338987,0.00307129989590757,-8.29782523845812E-07,-2.69723152811933E-05,0.00309572763575694,-7.52339424710021E-07,0.00142221302621762,0,0,0,0,0,0,package://arm/meshes/arm_base_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://arm/meshes/arm_base_link.STL,,base_link-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-0.00165424841298431,0.000160925607043449,0.0844306458447921,0,0,0,1.30372268529311,0.00340485151667065,4.73951898002371E-05,0.000218825292664858,0.003887980508731,-2.1277658692258E-05,0.0019602389123672,0,0,0,0,0,0,package://arm/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link_1.STL,,Link_1-1,Coordinate System12,Axis12,Joint_1,revolute,0,0,0.154,0,0,-1.5707963267949,arm_base_link,0,0,-1,11,2,0,6.28,,,,,,,,
Link_2,0.00466897689329795,-0.162155529525145,-0.0536740155305947,0,0,0,2.97373269361303,0.0324167102807371,0.00297981473551184,-0.000417973991868469,0.00996768059711576,-0.00718854159517085,0.0278574337135304,0,0,0,0,0,0,package://arm/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link_2.STL,,Link_2-3,Coordinate System2,Axis2,Joint_2,revolute,-0.0650932810459635,0.00632651267849924,0.115,-1.5707963267949,0,1.5707963267949,Link_1,-0.0967356678669598,0,-0.995310107736445,11,2,-2.059,2.059,,,,,,,,
Link_3,0.0625571705747566,0.0757694435809385,-0.0197412102243116,0,0,0,1.45765591046506,0.00668130936621989,-0.00179290985390331,0.00110761034441912,0.00505646179124057,0.00210611277510792,0.00576711177260289,0,0,0,0,0,0,package://arm/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link_3.STL,,Link 3-2,Coordinate System3,Axis3,Joint_3,revolute,0.0530599818434298,-0.28455,-0.00515697845398792,0,0,0,Link_2,-0.0967356678669597,0,-0.995310107736445,11,2,0,3.8,,,,,,,,
Link_4,0.00285172563081149,-0.0260073157026074,0.123071893834179,0,0,0,0.681236680376837,0.00500336377068867,2.58053015699419E-05,-2.97059053335618E-05,0.00481793578053504,0.0004000736752812,0.000727383609966516,0,0,0,0,0,0,package://arm/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/Link_4.STL,,Link_4-2,Coordinate System4,Axis4,Joint_4,revolute,0.0784902400245383,0.17127,-0.0648971665089489,-1.5707963267949,0,0,Link_3,0,0,-1,11,2,0,6.28,,,,,,,,
Link_5,0.0286748088454602,0.0507749814554782,0.0178696299113226,0,0,0,0.669420581705739,0.00103371950695079,-0.000251635215467511,5.62376905693041E-05,0.000906027580900811,0.000124543947445442,0.00143040150433598,0,0,0,0,0,0,package://arm/meshes/Link_5.STL,1,1,1,1,0,0,0,0,0,0,package://arm/meshes/Link_5.STL,,Link_5-2,Coordinate System5,Axis5,Joint_5,revolute,-0.000337607480855595,0.00347363227600019,0.2,-1.5707963267949,0,0,Link_4,0.0967356678669599,0,-0.995310107736445,11,2,-0.83,2.9,,,,,,,,
End_effector,1.79542801708177E-05,-0.000122480752124874,0.0096061474499399,0,0,0,0.0806378641781996,3.24265145588332E-05,8.12727483201835E-08,-8.01864845172061E-10,3.18840006785951E-05,5.47017248285155E-09,5.90805865629779E-05,0,0,0,0,0,0,package://arm/meshes/End_effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm/meshes/End_effector.STL,,toolhead-1,Coordinate System6,Axis6,End_effector_Joint,revolute,0.0872672717341501,0.0490789751008787,0.0185287556820571,1.47993501318796,-0.0336819095690923,1.21676367586924,Link_5,0,0,-1,11,2,0,6.28,,,,,,,,
Gripper_base,7.70182675857711E-06,-3.45372920922127E-07,0.0440536598355998,0,0,0,0.144340160157627,0.00021511317736329,2.00140097060607E-05,1.79902238875265E-08,0.000154298584782079,-8.00652364350352E-10,0.000101455826246438,0,0,0,0,0,0,package://arm/meshes/Gripper_base.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://arm/meshes/Gripper_base.STL,,Base-2;cover-1;cover-2,Coordinate System7,Axis7,Gripper_base_joint,fixed,0,0,0.0171450000000004,0,0,-0.145551942518358,End_effector,0,0,0,,,,,,,,,,,,
Gripper_arm_left,0.0415392668558662,0.018365565064578,0.0104837110778671,0,0,0,0.0127678157416076,1.42841391003646E-06,-2.11525861803004E-06,-6.33763992249554E-07,8.95021294973568E-06,-3.35016397061264E-07,9.96799180030045E-06,0,0,0,0,0,0,package://arm/meshes/Gripper_arm_left.STL,1,1,1,1,0,0,0,0,0,0,package://arm/meshes/Gripper_arm_left.STL,,gripper_arm_A-2,Coordinate System8,Axis8,Gripper_arm_left_Joint,revolute,0,-0.0166250000000014,0.0488750000000003,3.03621521440085,-1.57079631189374,0.0947157459884758,Gripper_base,0,0.287009841740442,-0.957927633354486,11,2,-1.22,3,,,,,,,,
left_finger,0.0276961872778643,-0.0147135019401428,0.00437246794423679,0,0,0,0.0111036375733557,6.4850387494873E-07,5.06604740618564E-07,1.51784530404508E-07,2.82215176126583E-06,-2.48616489402422E-08,2.89768159875783E-06,0,0,0,0,0,0,package://arm/meshes/left_finger.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://arm/meshes/left_finger.STL,,Arm-7,Coordinate System11,Axis11,left_finger_joint,fixed,0.0760387769781833,0.012682131802507,0,0,0,0,Gripper_arm_left,0,0,0,,,,,,,,,,,,
